,USA,RUS,IRN,CHN,GBR,ISR
1979,148,93,61,86,52,66
1980,294,202,233,86,89,85
1981,392,238,122,102,138,227
1982,431,162,127,75,290,338
1983,466,249,107,0,120,226
1984,398,148,189,0,142,163
1985,418,144,173,0,131,214
1986,554,143,188,0,156,190
1987,486,125,508,0,114,137
1988,381,151,253,0,121,184
1989,393,165,129,107,133,148
1990,444,234,87,0,121,214
1991,546,260,176,0,155,274
1992,372,170,81,77,140,164
1993,516,282,97,93,167,240
1994,653,475,0,130,249,362
1995,603,440,137,232,186,357
1996,930,601,219,532,303,710
1997,970,573,255,463,305,815
1998,1453,777,384,417,588,792
1999,1475,1141,0,640,556,697
2000,1198,779,314,618,324,971
2001,2038,804,479,579,556,1034
2002,2224,803,445,407,623,1086
2003,2922,795,543,581,960,956
2004,1718,563,379,466,513,836
2005,1215,387,406,376,509,616
2006,2752,757,1102,613,1036,1458
2007,4853,1302,1528,898,1770,1143
2008,5893,1612,1513,1109,1757,1895
2009,8582,1557,2257,1525,2736,2561
2010,9443,1424,1853,1766,2569,2423
2011,13675,1886,2209,1871,3067,2768
2012,14276,2445,3469,2286,3120,3672
2013,15815,2709,2858,2381,3852,3398
